English,Yoruba
--- Nigeria plans to recruit more troops,--- Nàíjíríà yóò gba ikọ̀ ọmọ ogun tuntun.
"Nigeria is planning to recruit more troops and officers to beef up personnel of the security agencies, to contain the threats and security concerns in the land.",Orílẹ̀ èdè Nàíjíríà ti setán láti gba ikọ̀ ọmọ ogun tuntun láti fi kún àwọn ọmọ ogun tó wà nílẹ̀ láti le gbógun ti ìdúnkoòkò àti ètò ààbò tó ń ṣe sége-sège.
"Vice President Yemi Osinbajo this when he received clergymen from the Northern part of Nigeria under the auspices of the Arewa Pastors Forum for Peace, on a courtesy visit to the Presidential Villa on Monday.","Igbákejì ààrẹ orílẹ̀ èdè Nàíjíríà, ọ̀jọ̀gbọ́n Yemí Òsínbàjò ló sọ̀rọ̀ yìí lásìkò ìpàdé tí ó se pẹ̀lú ẹgbẹ́ àwọn àlùfáà láti ìlà oòrùn, Arewa Pastors Forum for Peace, nílé ààrẹ tó wà nílùú Àbújá, lọ́jọ́ Ajé."
Professor Osinbajo said; “We are doing everything that needs to be done.,Ọ̀jọ̀gbọ́n Òsínbàjò tún ní; “ À ń sa ipá wa lórí ètò ààbò.
"“We are handling security well, and as you know, including military deployment in diverse fields, like the Boko Haram in the Northeast.","“Gẹ́gẹ́ bí ẹ se mọ̀ pé, à ń sa ipá wa lórí ètò ààbò lórílẹ̀ èdè yìí, nípa kíkó àwọn ikọ̀ ọmọ ogun lọ sí ìlà oòrùn láti kojú ikọ̀ ọlọ̀tẹ̀ Boko Haram."
"In fact, we have to now recruit more into the army, resources also – to buy more arms and more platforms.”","Ní báyìí, a fẹ́ gba àwọn ọmọ ogun tuntun láti fi kún àwọn tó wà nílẹ̀, a tún ti ya owó kan sọ́tọ̀ láti fi ra irinsẹ́ ogun."
Government Priority He stated that the Buhari administration considered tackling insecurity a very serious task.,"""Ọ̀jọ̀gbọ̀n Òsínbàjò tún ní ìjọba ààrẹ Muhammadu Buhari kò káàrẹ́ẹ̀ láti máa mójútó ètò ààbò lórílẹ̀ èdè yìí."
"The Vice President urged the group as ‘Men of God,” to come up with ideas on how to find lasting peace.","Igbákejì ààrẹ wá rọ ẹgbẹ́ àwọn àlùfáà náà pé ‘Ẹ̀yin ènìyàn Ọlọ́run,"" ẹ wá ètò tí ìjọba yóò máa tẹ̀lé láti mójútó ètò ààbò."
"The President of the Forum, Bishop Mbayo Japhet said the visit to the Presidential Villa was to support the government and described Professor Osinbajo as an apostle of peace.","Ààrẹ ẹgbẹ́ náà, Bisobu Mbayo Japhet náà sọ pé àwọn wá sílé ààrẹ láti wá sàtìlẹyìn fún ìjọba láti tún wá sàpèjúwe ọ̀jọ̀gbọ́n Òsínbàjò gẹ́gẹ́ bí ènìyàn àlááfíà."
--- Nigerian Government to maintain subsidy on rail transport fares – Minister,--- A ò ní fowó kún ọkọ̀ ojú irin nítorí àwọn mẹ̀kúnù- Rotimi Amaechi.
"The Minister of Transportation, Rotimi Amaechi, on Monday, said the government will not further increase ticket prices on the Abuja-Kaduna rail route, Several people have called for an increase in the ticket price to ensure the railway makes enough profit to pay back the loans incurred in building it and become sustainable.","Bí àwọn ènìyàn se ń pè láti jẹ́ kí wọ́n fi owó kún iye tí àwọn ènìyàn ń wọ ọkọ̀ ojú irin, kí ìjọba leè tètè san owó tí wọ́n ya padà láti fi ra ọkọ́ ojú irin náà sùgbọ́n mínísítà fún ètò ìrìnnà, Rotimi Amaechi ti ní ìjọba kò ní dẹ́kun láti máa sèrànwọ́ nípa fífi owó kún ọkọ̀ ojú irin láti Àbújá sí Kaduna."
"But Amaechi, who spoke in an interview, said railways don’t make profits (from passenger ticket prices) across the world because they are usually subsidized.","Amaechi, sọ̀rọ̀ yìí lásìkò tó ń bá àwọn akọrọ̀yìn sọrọ̀, pé ní gbogbo àgbáyé kò sí ibi tí wọ́n ti ń lo ọkọ̀ ojú irin láti pa owó sápò ìjọba."
"“If we increase the cost of the tickets, what about the poor man that wants to move from Abuja to Kaduna, that lives in Kaduna to save the cost of accommodation,” he said.","Amaechi ní “Tí a bá fi owó kún iye tí àwọn ènìyàn ń wọ ọkọ̀ ojú irin, Báwo ni àwọn mẹ̀kúnù tí wọn ń se isẹ́ ní Àbújá, sùgbọ́n tí wọn ń gbé ní Kàdúná nítorí owó ilé""."
"Meanwhile, to solve the problem of ticket racketeering on the Abuja-Kaduna rail route, the Minister said the Nigeria Railway Corporation (NRC) is set to roll out new locomotives and coaches.","Nítorí náà, láti wá ojútùú sí ìpèníjà tó wà níbi ríra ìwé ìrìnnà ọkọ̀ ojú irin láti Àbújá sí Kàdúná, mínísítà ní ilé-isẹ́ tó ń mójútó ọkọ̀ ojú irin Nigeria Railway Corporation (NRC) yóò tún pèsè àwọn ọkọ̀ ojú irin tuntun."
"On the Lagos-Ibadan railway, the Minister declined to give a deadline for the route’s completion.",Ọkọ̀ ojú irin láti Èkó sí Ìbàdàn Mínísítà kò fésìì lórí ìgbà tí ọkọ̀ ojú irin láti Èkó sí Ìbàdàn yóò parí.
Amaechi said “What they told us the first time was April 2020.,"Amaechi ní “Ohun tí wọn sọ fún wa ni pé wọn yóò parí isẹ́ náà ní osú kẹrin, ọdún 2020."
But they ran into problems.,Sùgbọ́n wọ́n ní ìpèníjà.
Their goods were yet to be cleared from the seaport.,Wọn kò tí ì rí ẹrù wọn gbà láti èbúté ọkọ̀ ojú omi.
"--- Federal Govt., U.S to sign agreement on assets repatriation",--- Orílẹ̀ èdè Amerika àti Nàíjíríà yóò tọwọ́bọ ìwé àdéhùn láti da $321m padà.
