English,Yoruba
--- Anthony Joshua discussed on the venue of competing with Jarrell Miller,--- Anthony Joshua ń jíròrò lórí ibi ìgbáradì ṣaájú ìfigagbága pẹ̀lú Jarrell Miller.
"Now, the Britain boxer, Antony Joshua is having a meeting on which field to practice before competiting with the New York boxer, Jarrell Miller in a combat for the world cup.","Ní báyìí, ẹlẹ́ṣẹ̀ẹ́ ọmọ ilẹ̀ Bìrìtìkó, Anthony Joshua ti ń ṣe ìpàdé lórí gbàgede ìgbáradì tí yóò lò kí ó tó lọ kojú ẹlẹ́ṣẹ̀ẹ́ ilẹ̀ New York, Jarrell Miller nínú ìtakàǹgbọ̀n fún àmì-ẹ̀yẹ àgbááyé."
"Though, Anthony Joshua at not t any time relaxed, afte his longtime preparation for the competition.","Bí ó tilẹ̀ jẹ́ pé, Anthony Joshua kò fìgbà kankan túra sílẹ̀, lẹ́yìn ìgbáradì ọlọ́jọ́ pípẹ́ fún ìfigagbága náà."
"The News established it that, Joshua is waiting for an assurance of the competition between himself and Miller at the Madison Square June this year.","Ìròyìn fi ìdí rẹ̀ múlẹ̀ pé, Joshua ń dúró de àrídájú ìfigagbága náà láàrín òun àti Miller ní gbàgede Madison Square, nínú oṣù kẹfà ọdún yìí."
Also his losing counterpart Eddie Hearn had a meeting with Dillian Whyte on maybe the competition between them will be restaged.,"Bákan náà ni, akẹẹgbẹ́ rẹ̀ tí ó pàdánù, Eddie Hearn ṣe ìpàdé pẹ̀lú Dillian Whyte lórí bóyá ìfigagbága wọn yóò di àtúngbékalẹ̀."
--- Martial extends his term in Manchester United.,--- Martial sún àkókò rẹ̀ síwájú nínú ikọ̀ Manchester United.
"The French scorer, Anthony Martial who is player of Manchester United has signed a five years work agreement to extend his his term in Manchester United till 2024.","Atamátàsé ọmọ orílẹ̀-èdè France, Anthony Martial tí ó jẹ́ agbábọ́ọ̀lù ikọ̀ Manchester United ti buwọ́ lu ìwé àdéhùn ìṣiṣẹ́ ọlọ́dún márùn-ún láti sún àkókò rẹ̀ síwájú nínú ikọ̀ Manchester United di ọdún 2024."
"Though, different rumour is on in the market that it is possible that the football athlete will leave Manchester United.","Bí ó ti lẹ̀ jẹ́ pé, oríṣiríṣi àhesọ ọ̀rọ̀ ló gba ojú-ọjà kan pé, ó ṣeéṣe kí agbábọ́ọ̀lù náà ó kúrò nínú ikọ̀ Manchester United."
"Now, Martial has scored a total of ten goals in this season and help for a goal in twenty five (25) football match in this season.","Ní báyìí, Martial ti gbá àpapọ̀ bọ́ọ̀lù mẹ́wàá sáwọ̀n ní sáà yìí, tí ó sì ṣe ìrànwọ́ ayọ̀ kan nínú ìfẹsẹ̀wọnsẹ̀ márùndínlọ́gbọ̀n ní sáà yìí."
"Many of the footballers commend the acting coaching for Manchester Unuted, Ole Gunnar Solskjaer for his hard work and the part played since he has substituted the former coach of the football club Jose Mourinho.","Ọ̀pọ̀lọpọ̀ nínú àwọn agbábọ́ọ̀lù ọ̀hún ni ó gbóríyìn fún adelé akọ́nimọ̀ọ́gbá ikọ̀ Manchester United, Ole Gunnar Solskjaer fún iṣẹ́ takuntakun àti ipa tí ó kó láti ìgbà tí ó ti rọ́pò akọ́nimọ̀ọ́gbá ikọ̀ náà tẹ́lẹ̀, Jose Mourinho."
"According to Martial, I thank Ole so much and the other coaches for the their believe in me, because they helped me so much to bring increase to how I participated.","Gẹ́gẹ́ bí Martial ṣe sọ, Mo dúpẹ́ lọ́wọ́ Ole gidi gan àti àwọn akọ́nimọ̀ọ́gbá yòókù fún ìgbàgbọ́ wọn nínú mi, nítorí pé wọ́n rànmí lọ́wọ́ púpọ̀ láti mú ìgbèrú bá bí mo ṣe ń kópa sí."
