English,Yoruba
Workers’ Day Celebration: House Speaker tasks Nigerian workers on productivity,---Àjọ̀dún òṣìṣẹ́: Abẹnugan ilé-ìgbìmọ̀ as̩ojú rọ òṣìṣẹ́ láti tẹramọ́ iṣẹ́ fún àbájáde rere.
The Speaker of the Nigerian House of Representatives Mr Femi Gbajabiamila has congratulated the Nigerian workers for marking this year’s International Workers’ Day.,"Abẹnugan ilé-ìgbìmọ̀ aṣ̣ojú ti Nàìjíríà, Fẹ́mi Gbàjàbíàmílà, ti kí àwọn òṣìṣẹ́ orílẹ̀-èdè yìí kú orííre fún ti àjọ̀dún àyájọ́ àwọn òsìsẹ́ lágbàáyé."
"Mr Gbajabiamila said although the day is being marked quietly across the globe as a result of the lockdown necessitated by the COVID-19 pandemic, there is much to remember about the sacrifices made by Nigerian workers.","Ọ̀gbẹ́ni Gbàjàbíàmílà ní bó tilẹ̀ jẹ́ pé ayẹyẹ yìí wáyé láìsí ariwo ní gbogbo àgbáyé nítorí àṣe̩ kónílé–gbélé látàrí ìtànkálẹ̀ aàrun COVID-19, ohun tí a lè rántí pọ̀ nípa àwọn ìrúbọ ti àwọn òṣìṣẹ́ Nàìjíríà̀ ṣe."
"In a statement marking the Workers’ Day signed by his Special Adviser on Media and Publicity, Lanre Lasisi, the Speaker commended the Nigerian workers for their commitment and dedication to work over the years, which he said has shaped the country tremendously.","Nínú àtẹ̀jáde tó ń sàmì ọjọ́ àwọn òṣìṣẹ́ èyí tí Olùdámọ́ràn rẹ̀ Pàtàkì lórí ìròyìn àti ìkéde fo̩wó̩sí, Láńre Làsísì, Abẹnugan gbóṣùbà fún àwọn òṣìṣẹ́ Nàìjíríà nítorí ìfarajìn àti ipa ribiribi tí wọ́n kó fún ọ̀pọ̀ ọdún sẹ́yìn, èyí tó mú ìyípadà rere bá Nàìjíríà."
"He, however, called on Nigerian workers to be more productive now and always, saying no matter what was achieved before now must be sustained and improved upon for the country to achieve more.","Síbè̩, ó ro̩ àwọn òṣìṣé Nàìjíríà kí wọ́n túnbọ̀ máa so èso rere nísisìnyí àti gbogbo ìgbà, nítorí àṣeyorí àná nílò ìtẹ̀síwájú kí a ṣiṣẹ́ síi kí ọrílẹ̀-èdè yìí leè ní àṣeyọrí síi."
"“I want to salute the courage of Nigerian workers, who have over the years given their best to their work.","‘Mo fẹ́ kí àwọn òṣìṣé Nàìjíríà fún ọkàn-akin, àwọn tí wọ́n ti fi gbogbo ipá wọn ṣiṣé."
Indeed Nigeria and Nigerians are proud of you.,"Nítòótọ́, Nàìjíríà àti àwọn ọmọ Nàìjíríà fi yín yangàn."
I urge the Nigerian workers to redouble their efforts at this time of our national development.,Mo rọ àwọn òṣìṣẹ́ Nàìjíríà láti fikún okun wọn ní irú àkókò ìdàgbàsókè orílẹ̀ èdè wa yìí.
They must continue to put in their best in the work that they do for the betterment of the country.”,Wọ́n gbọ́dọ̀ tẹ̀síwájú láti fi gbogbo agbára wọn ṣe iṣé tí wọ́n ń ṣe fún àǹfààní orílẹ̀ èdè’
--- May Day: Senate President felicitates with Nigerian workers,--- Àyájọ́ àwọn Òṣìṣẹ́: Olóri ilé-ìgbìmọ̀ aṣòfin àgbà kí àwọn òṣìṣẹ́ Nàìjíríà
"President of the Nigerian Senate, Ahmad Lawan, has felicitated with Nigerian workers as they join their counterparts the world over to mark the Workers’ Day.","Ààrẹ ilé-ìgbìmọ̀ aṣòfin àgbà ti Nàìjíríà, Ahmad Lawan, kí àwọn òṣìṣẹ́ orílẹ̀-èdè yìí bí wọ́n ṣe sowó̩pò̩ pè̩lú àwọn akẹgbẹ́ wọn lágbàáyé láti s̩e àjọ̀dún o̩jó̩ àwọn òṣìṣẹ́."
Senator Lawan also congratulated Nigerian workers for sustaining their heroic struggle for the liberation of the country from poverty and underdevelopment even in the face of the daunting challenges at various workplaces.,"Aṣòfin Lawan tún gbóṣùbà fún àwọn òṣìṣẹ́ fún gudugudu méje, yàyà mẹfà tí wọ́n ń ṣe láti mú orílẹ̀-èdè kúrò nínú òṣì àti àìní idàgbàsókè àti kíkojú àwo̩n ìpèníjà amúnibè̩rù lẹ́nu iṣẹ́ onírúurú."
He acknowledged the role of workers as the creator of wealth in society and stressed that it is for this reason that they should be appreciated at all times.,"Ó mọ rírì ipa àwọn òṣìṣẹ́ gẹ́gẹ́ bíi ẹni tó ń mú ọrọ̀ wá sí àwùjọ, ó tẹnumọ wípé èyí ni a ṣe gbọ́dọ̀ mo rírì wọn ní gbogbo ìgbà."
The best way to appreciate the enormous contributions of the Nigerian workers is to always consider their welfare as of utmost importance.,"Ó tẹ̣̀síwájú pé ""ọ̀nà tó dára jùlọ̣ láti mọ̣ rírì ipa ribiribi tí àwọ̣̣n òṣìṣẹ́ kó ní láti mójútó ètò ìgbáyé-gbádùn wọ̣̣n."
