English,Yoruba
--- FIFA slams life ban on Kenyan referee,--- Àjọ FIFA fòfin de adarí ìfẹsẹ̀wọnsẹ̀ bọ́ọ̀lù ọmọ orílẹ̀-èdè Kenya títí láí.
A Kenyan referee who had been due to officiate at the ongoing World Cup in Russia has been handed a life ban after being caught in a bribery sting.,Adarí ìfẹsẹ̀wọnsẹ̀ bọ́ọ̀lù ọmọ orílẹ̀-èdè Kenya tí ó yẹ kí ó darí ìfẹsẹ̀wọnsẹ̀ níbi Ife ẹ̀yẹ àgbááyé tí ó ń lọ lọ́wọ́ lórílẹ̀-èdè Russia ni wọ́n ti fi òfin dè títí láí lẹ́yìn tí wọ́n gbá a mú pẹ̀lú gbígba owó ìbọ̀ọ̀nú.
Aden Marwa was filmed receiving a 600-dollar bribe during Confederation of African Football (CAF) assignment in Ghana.,Aden Marwa di kíkásílẹ̀ lásìkò tí ó ń gba ẹgbẹ̀ta owó dollar lásìkò iṣẹ́ àkànṣe Àjọ tó ń mójú tó bọ́ọ̀lù àfẹsẹ̀gbá ní ilè Adúláwọ̀ (CAF) lórílẹ̀-èdè Ghana.
"He is one of 22 referees sanctioned by the CAF in an unprecedented clean up, announced at the weekend.",Ó wà lára àwọn méjìlélógún tí àjọ CAF fòfin dè nínú ìpàdé ìfọ̀wà-ìbàjẹ́-nù tí wọ́n pè lópin ọ̀sè tó kọjá.
"Marwa, who was a reserve at the 2014 finals in Brazil, had earlier been removed from the list of match officials due to officiate in Russia.","Marwa, tí ó wà ní ìpamọ́ ní àṣekágbá ìdíje ọdún 2014 lórílẹ̀-èdè Brazil ni wọ́n ti kọ́kọ́ yọ kúrò lára àwọn tí yóò darí ìdíje ní orílẹ̀-èdè Russia."
"The life ban was handed out by CAF’s disciplinary board, which also banned 10 other referees for between two years and 10 years for similar offences.","Ìfòfindè títí lái yìí jẹ́ ṣíṣe láti ọwọ́ ìgbìmọ̀ tí ó ń ṣèdájọ́ ìwà-ìbàjẹ́ àjọ CAF, èyí tí ó tún fi òfin de àwọn adarí ìfẹsẹ̀wọnsẹ̀ bọ́ọ̀lù mẹ́wàá mìíràn fún ọdún méjì sí ọdún mẹ́wàá fún irúfẹ́ ẹ̀sùn kan náà."
--- Pinnick appointed CAF 1st vice-president,--- Pinnick jẹ́ yíyàn gẹ́gẹ́ bí igbákejì ààrẹ àjọ CAF
The President of Nigeria Football Federation (NFF) Amaju Pinnick has been appointed as the 1st Vice President of Confederation of African Football (CAF).,Ààrẹ Àjọ tó ń mójú tó bọ́ọ̀lù àfẹsẹ̀gbá lórílẹ̀-èdè Nàìjííríà (NFF) Amaju Pinnick ti jẹ́ yíyàn gẹ́gẹ́ bí igbákejì ààrẹ àkọ́kọ́ Àjọ tó ń mójú tó bọ́ọ̀lù àfẹsẹ̀gbá ní ilè Adúláwọ̀ (CAF).
"The letter reads ” Following resignation of the 1st Vice President, Mr Kwesi Nyantakyi and the prevailing situation in the Football Federation of Nigeria, the CAF President, after consulting the members of the Emergency Committee, appointed Mr Amaju Melvin Pinnick as 1st Vice President.","Ìwé náà kà báyìí pé” Látàrí ìkọ̀wéfipòsílẹ̀ igbákejì ààrẹ àkọ́kọ́, Ọ̀gbẹ́ni Kwesi Nyantakyi àti òkè téńté tí Àjọ tó ń mójú tó bọ́ọ̀lù àfẹsẹ̀gbá lórílẹ̀-èdè Nàìjííríà wà Ààrẹ Àjọ CAF, lẹ́yìn tí ó fi ọ̀rọ̀ lọ àwọn ọmọ ìgbìmọ̀ ìṣẹ̀lẹ̀ pàjáwìrì, yan Ọ̀gbẹ́ni Amaju Melvin Pinnick gẹ́gẹ́ bí igbákejì ààrẹ àkọ́kọ́."
"”This decision is immediately applicable in accordance with article 27, para. 2 of the status which will be ratified by the Executive Committee in its session scheduled on Sept. 27 and 28, 2018, ” the communique reads, the appointment is another feather to Amaju’s cap as he currently head the Africa Cup of Nations committee which is in charge of organising the continent’s flagship event.","”Ìgbésẹ̀ yìí wà ní ìbámu pẹ̀lú àpilẹ̀kọ kẹtàdínlọ́gbọ̀n, ìpínrọ̀ kejì léyìí tí ìgbìmọ̀ ìṣàkóso yóò fọwọ́ sí ní ìjókòó tí wọ́n ti fi sí ọjọ́ kẹtàdínlọ́gbọ̀n àti ìkejìdínlọ́gbọ̀n oṣù kẹsàn-án ọdún 2018.” nínú ọ̀rọ̀ inú àtẹ̀jáde, okùn mìíràn ni ìyànsípò yìí jẹ́ fún Amaju pẹ̀lú bí ó ṣe jẹ́ olórí ìgbìmọ̀ Ife ẹ̀yẹ ilẹ̀ Adúláwọ̀ tí yóò mójú tó ayẹyẹ ìṣíde."
