English,Yoruba
"--- Ogunbowale, Azubuike propel U.S. basketball teams to victory","--- Ògúnbọ̀wálé, Azubuike rán ikọ̀ wọn lọ́wọ́ láti jáwé olúborí."
Arike Ogunbowale was on Sunday night the star as she propelled Notre Dame to deliver the 2018 National Collegiate Athletic Association (NCAA) basketball title with a 61-58 victory over Mississippi State.,Àríkẹ́ Ògúnbọ̀wálé ran ikọ̀ agbábọ́ọ̀lù àfọ́wọ́gbá rẹ̀ Notre Dame láti gba ife-ẹ̀yẹ ìdíje National Collegiate Athletic Association (NCAA) tọdún 2018 pẹ̀lú àmì-ayò ọ̀kànlélọ́gọ́ta sí mẹ́jìdínlọ́gọ́ta (61-58) láti fàgbà han Mississippi State.
"Ogunbowale’s a late rescuing jump shot, with 0.1 seconds left, crowned Notre Dame their first women’s NCAA championship since 2001 and only the second in history.","Ẹ̀wẹ̀, ìṣẹ́jú péréte díẹ̀ tókù kí ìfigagbága ọ̀hún wá sí ìparí ni Ògúnbọ̀wálé ju bọ́ọ̀lù wọlé sínú agbọ̀n Mississippi State láti ran Notre Dame lọ́wọ́ gba ife-ẹ̀yẹ ìdíje NCAA tàwọn obìnrin àkọ́kọ́ láti ọdún 2001, èyí tí ó sì di èèkejì irú rẹ̀ tí ikọ̀ ọ̀hún ti gbà báyìí."
"After hitting a game-winning shot on Friday to beat Connecticut in the tournament’s national semi-finals, her winning shot on Sunday night was described as “the greatest last-second shot in championship game history.","Lẹ́yìn tí ikọ̀ ọ̀hún fàgbà han Connect cut lọ́jọ́ Ẹtì (Friday) nínú ìpele kejì sí àṣekágbá ìdíje náà, jíjáwé olúborí lọ́jọ́ Àìkú Sunday nínú àṣekágbá ìdíje náà jẹ́ ohun ìyàlẹ́nu tí ó sì tún fìtàn balẹ̀ nínú ìwé ìtàn ìdije náà."
"To do that twice in one weekend, the biggest stage in college basketball, it’s crazy,” Ogunbowale said. Ogunbowale, who scored 27 points in Friday’s epic semi-final win over the Huskies, earned most outstanding player honours for the tournament.","Ògúnbọ̀wálé sọ pé,""Láti ṣe irú eléyìí nínú ọ̀sẹ̀ kan péré, ó jẹ́ ohun ìtàn nínú ìdíje bọ́ọ̀lù àfọwọ́gbá yìí,"" Ògúnbọ̀wálé ju bọ́ọ̀lù àmì mẹ́tàdínlọ́gbọ̀n wọlé nínú ìpele kejì àṣekágbá ọ̀hún lọ́jọ́ Ẹti ̀(Friday), léyìí tí ó mú un gba àmì-ẹ̀yẹ olùkópa tí ó tayo jùlọ nínú ìdíje ọ̀hún."
"I practise this all the time. It’s everyone’s dream to get a game-winning shot. So, you practise this in the gym when you’re by yourself. So, I was prepared for this moment.”","Mo ti gbáradì púpọ̀ fún irú àkókò yìí, ọ̀pọ̀ olùkópa ló ń fẹ́ láti lọ́wọ́ nínú àmì-ayò tí yóò ran ikọ̀ rẹ̀ lọ́wọ́ gba ife-ẹ̀yẹ, ṣùgbọ́n gbígbáradì ṣaájú ìfigagbága ṣe pàtàkì."
"Ogunbowale’s father, Gregory, is from Nigeria, where he played football and rugby while her mother, Yolanda, is an American-born teacher who was a softball pitcher.","""Bàbá Ògúnbọ̀wálé, Gregory, jẹ́ ọmọbíbí Nàìjííríà, tí ó sì fẹ́ràn bọ́ọ̀lù àfẹsẹ̀gbá àti bọ́ọ̀lù àfọwọ́gbá (rugby), bẹ́ẹ̀ sìni ìyá rẹ̀, Yolanda, jé ọmo bíbí Amẹ́ríkà tí ó sì tún jẹ́ olùkọ́."
"Meanwhile, Udoka Azubuike’s Kansas lost to Villanova 95-79 in the NCAA Men semi-finals.","Bákan náà, nínú irúfẹ́ ìdíje NCAA tàwọn ọkùnrin, ikọ̀ agbábọ́ọ̀lù Kansas, tí Udoka Azubuike ǹ kópa fún, pàdánù ìpele kejì sí àṣekágbá ìdíje ọ̀hún sọ́wọ́ Villanova pẹ̀lú àmì-ayò márùndínlọ́gọ́rùn-ún sí mọ́kàndínlọ́górin (95-79)."
--- Defeating to Serbia is a great lesson  – Dalung,--- Ẹ̀kọ́ ńlá ni pípàdánù sọ́wọ́ Serbia jẹ́ fún wa – Dalung
"The Minister of Sports in Nigeria, Solomon Dalung, says the federal government was not disappointed with the loss to Serbia in the second international friendly played on Tuesday.","Mínísítà tó ń rí sí eré ìdárayá àti ìdàgbàsókè eré ìdárayá ní Nàìjíríà, Solomon Dalung sọ pé, inú ìjọba kò bàjẹ́ rárá látàrí pípàdánù ìfẹsẹ̀wọnsẹ̀ ọlọ́rẹ̀ẹ́jọ̀ré kejì sọ́wọ́ Serbia lọ́jọ́ Ìṣẹ́gun (Tuesday)."
