English,Yoruba
---President Buhari arrives in New York for UN General Assembly,---Ààrẹ Buhari dé sí New York fún Ìpàdé Àpérò Àjọ UN.
"President Muhammadu Buhari is in New York, to attend the 74th session of the United Nations General Assembly UNGA.","Ààrẹ orílẹ̀-èdè Nàìjíríà Muhammadu Buhari wà ní New York, fún Àpérò Àjọ Ìṣòkan Àgbáyé tí ó jẹ́ ìkẹrìnléláàdọ́rin (74) ìpàdé àpérò irú rẹ̀."
"The President, who arrived in New York in the late hours of Sunday, was received on arrival by Nigeria’s Ambassador to the US, Justice Sylvanus Adiewere, Ministers of Foreign Affairs, Geoffrey Onyama and that of Health, Dr Osagie Ehanire among others.","Ààrẹ Buhari, ẹni tí ó dé sí New York ní ọ̀gànjọ́ ọjọ́ Àìkú, tí aṣojú orílẹ̀-èdè Nàìjíríà fún ilẹ̀ Amẹ́ríkà, Sylvanus Adiewere, Mínísítà fún ọ̀rọ̀ òkèèrè, Geoffrey Onyama àti Mínísítà fún ètò ìlera, Osagie Ehanire àti àwọn mìíràn wá pàde rẹ̀."
"President Buhari is scheduled to be the 5th to deliver his address at the UNGA general debate, which starts on Tuesday.","Ààrẹ Buhari ni ẹnití yóò jẹ́ ìkarùn-ún nínú àwọn ti yóò máa sọ̀rọ̀ níbi Ìpàdé Àpérò Àjọ Ìṣòkan Àgbáyé ọ̀hún, ní èyí tí yóò bẹ̀rẹ̀ lọ́jọ́ Ìṣẹ́gun."
The President is expected to underscore his administration’s commitment to building on the achievements of its three-point agenda following the renewal of his electoral mandate by majority of Nigerians.,Ààrẹ Buhari yóò máa sọ̀rọ̀ lórí ìṣèjọba àti ìpinnu mẹ́ta tí ó fẹ́ gúnlẹ̀ níbi ìṣèjọba rẹ̀ lẹ́yìn tí ọ̀pọ̀ ọmọ Nàìjíríà fìbò dá a padà sórí àléfà.
He will also reaffirm Nigeria’s position on salient global issues.,Yóò sì ṣàlàyé àwọn ipò tí orílẹ̀-èdè Nàìjíríà wà lórí àwọn ọ̀ràn tí ó kan gbogbo àgbáyé gbọ̀ngbọ̀n.
The President’s participation at this year’s gathering of world leaders is particularly significant as it coincides with Nigeria’s Presidency of UNGA.,Ìkópa Ààrẹ nínú ìpéjọ àwọn olórí orílẹ̀-èdè àgbáyé ọdún yìí ṣe pàtàkì nítorí ó ṣe pẹ̀kínrẹ̀kí pẹ̀lú Orílẹ̀-èdè Nàìjíríà gẹ́gẹ́ bí Ààrẹ Ìpàdé Àpérò Àjọ UN.
"The theme for UNGA74 is, ‘Galvanizing Multilateral Efforts for Poverty Eradication, Quality Education, Climate Action and Inclusion.’","Àkórí ìpàdé Àpérò Àjọ Ìṣòkan Àgbáyé ẹlẹ́ẹ̀kẹrìnléláàdọ́rin (UNGA74) náà ni, ‘Ìgbìyànjú Nílopo-ọ̀nà láti Mú Òṣì Kúrò, Ètò Ẹ̀kọ́ tó yè Kooro àti Mímójútó Ìyípadà Ojú-ọjọ́ àti Ìfi-àwọn-ènìyàn-gbogbo-kun-ètò-gbogbo."
---First Ebola case recorded in DRC city of Goma,---Àrùn Ebola àkọ́kọ́ ṣẹlẹ̀ ní ìlú Goma ní Orílẹ̀-èdè Ìjọba Àwarawa Olómìnira Congo.
"The first case of Ebola in the eastern Democratic Republic of Congo city, Goma, was discovered on Sunday, officials said, raising concerns the virus could spread quicker in a densely populated area close to the Rwandan border.","Àwọn aṣojú ìjọba sọ wí pé, àrùn Ebola àkọ́kọ́ ṣẹ́yọ ní ìlú Goma ní ìlà-oòrùn Orílẹ̀-èdè Ìjọba Àwarawa Olómìnira Congo, ní ọjọ́ Àìkú, tí ó ń bà wọ́n lẹ́rù nítorí ó ṣe é ṣe kí àrùn ọlọ́jẹ̀ náà ó tàn kíá ní agbègbè tí ó mú àlà pẹ̀lú orílẹ̀-èdè Rwanda."
"Goma, a lakeside city of 1 million people, is more than 350 km south of where the second-largest Ebola outbreak on record was first detected a year ago.","Ó tó àádọ́ta-ọ̀kẹ́ kan àwọn ènìyàn tó ń gbé ìlú Gómà, t’ó súnmọ́ bèbè adágúndò, tó ìbùsọ̀ 350 ní gúúsù apá ibí tí ó ṣìkejì agbègbè tí àrùn Ebola tí ó pọ̀ j ù lọ ti ṣẹ́yọ ní bí ọdún kan sẹ́yìn."
"But the haemorrhagic fever has gradually spread south, infecting nearly 2,500 people and killing more than 1,600.","Ṣùgbọ́n àrùn ibà ọlọ́jẹ̀ náà tí ń ṣe wérewère tàn ká dé gúúsù, tí ó ti ran àwọn ènìyàn 2,500 tí ó sì pa àwọn 1,600."
How Ebola spread to Goma,Bí àrùn Ebola ṣ̣e wọ ìlú Goma
"The patient was a priest who became infected during a visit to the town of Butembo, 200 km north of Goma, where he interacted with Ebola patients, Congo’s health ministry said in a statement.","Gẹ́gẹ́ bí àwọn òṣìṣẹ́ ilé–ìwòsàn náà ṣe sọ, àlùfáà ni ẹni tí ó lugúdẹ àrùn náà lásìkò t’ó wá sí ìlú Butembo, ìbùsọ̀ 200 sí àríwá Goma, níbi tí ó ti ṣàgbákò àwọn ènìyàn tó ní àrùn Ebola."
He developed symptoms last week before taking a bus to Goma on Friday. When he arrived in Goma on Sunday he went to a clinic where he tested positive for Ebola.,"Àwọn àmì àrùn náà bẹ̀rẹ̀ sí ní máa jẹyọ lọ́sẹ̀ t’ó kọ́ja lásìkò kí ó t ó wọ́kọ akéròpúpọ̀ lọ sí Goma lọ́jọ́ Ẹtì. Nígbà tí ó dé Goma lọ́jọ́ Àìkú ni ó lọ sílé ìwòsàn, níbi tí àyẹ̀wò ti fi hàn pé ó ní àrùn Ebola."
